column,tau,dimension,reason
Lab1_G1_N3,102,19,ArgumentError
Lab1_G1_N3,102,20,ArgumentError
Lab1_G1_N3,103,3,non_finite_uzal_cost
Lab1_G1_N3,103,15,ArgumentError
Lab1_G1_N3,103,16,ArgumentError
Lab1_G1_N3,103,17,ArgumentError
Lab1_G1_N3,103,18,ArgumentError
Lab1_G1_N3,103,19,ArgumentError
Lab1_G1_N3,103,20,ArgumentError
Lab1_G1_N3,104,3,non_finite_uzal_cost
Lab1_G1_N3,104,15,ArgumentError
Lab1_G1_N3,104,16,ArgumentError
Lab1_G1_N3,104,17,ArgumentError
Lab1_G1_N3,104,18,ArgumentError
Lab1_G1_N3,104,19,ArgumentError
Lab1_G1_N3,104,20,ArgumentError
Lab1_G1_N3,105,3,non_finite_uzal_cost
Lab1_G1_N3,105,15,ArgumentError
Lab1_G1_N3,105,16,ArgumentError
Lab1_G1_N3,105,17,ArgumentError
Lab1_G1_N3,105,18,ArgumentError
Lab1_G1_N3,105,19,ArgumentError
Lab1_G1_N3,105,20,ArgumentError
Lab1_G1_N3,106,3,non_finite_uzal_cost
Lab1_G1_N3,106,15,ArgumentError
Lab1_G1_N3,106,16,ArgumentError
Lab1_G1_N3,106,17,ArgumentError
Lab1_G1_N3,106,18,ArgumentError
Lab1_G1_N3,106,19,ArgumentError
Lab1_G1_N3,106,20,ArgumentError
Lab1_G1_N3,107,15,ArgumentError
Lab1_G1_N3,107,16,ArgumentError
Lab1_G1_N3,107,17,ArgumentError
Lab1_G1_N3,107,18,ArgumentError
Lab1_G1_N3,107,19,ArgumentError
Lab1_G1_N3,107,20,ArgumentError
Lab1_G1_N3,108,3,non_finite_uzal_cost
Lab1_G1_N3,108,14,ArgumentError
Lab1_G1_N3,108,15,ArgumentError
Lab1_G1_N3,108,16,ArgumentError
Lab1_G1_N3,108,17,ArgumentError
Lab1_G1_N3,108,18,ArgumentError
Lab1_G1_N3,108,19,ArgumentError
Lab1_G1_N3,108,20,ArgumentError
Lab1_G1_N3,109,3,non_finite_uzal_cost
Lab1_G1_N3,109,14,ArgumentError
Lab1_G1_N3,109,15,ArgumentError
Lab1_G1_N3,109,16,ArgumentError
Lab1_G1_N3,109,17,ArgumentError
Lab1_G1_N3,109,18,ArgumentError
Lab1_G1_N3,109,19,ArgumentError
Lab1_G1_N3,109,20,ArgumentError
Lab1_G1_N3,110,3,non_finite_uzal_cost
Lab1_G1_N3,110,14,ArgumentError
Lab1_G1_N3,110,15,ArgumentError
Lab1_G1_N3,110,16,ArgumentError
Lab1_G1_N3,110,17,ArgumentError
Lab1_G1_N3,110,18,ArgumentError
Lab1_G1_N3,110,19,ArgumentError
Lab1_G1_N3,110,20,ArgumentError
Lab1_G1_N3,111,14,ArgumentError
Lab1_G1_N3,111,15,ArgumentError
Lab1_G1_N3,111,16,ArgumentError
Lab1_G1_N3,111,17,ArgumentError
Lab1_G1_N3,111,18,ArgumentError
Lab1_G1_N3,111,19,ArgumentError
Lab1_G1_N3,111,20,ArgumentError
Lab1_G1_N3,112,3,non_finite_uzal_cost
Lab1_G1_N3,112,14,ArgumentError
Lab1_G1_N3,112,15,ArgumentError
Lab1_G1_N3,112,16,ArgumentError
Lab1_G1_N3,112,17,ArgumentError
Lab1_G1_N3,112,18,ArgumentError
Lab1_G1_N3,112,19,ArgumentError
Lab1_G1_N3,112,20,ArgumentError
Lab1_G1_N3,113,3,non_finite_uzal_cost
Lab1_G1_N3,113,14,ArgumentError
Lab1_G1_N3,113,15,ArgumentError
Lab1_G1_N3,113,16,ArgumentError
Lab1_G1_N3,113,17,ArgumentError
Lab1_G1_N3,113,18,ArgumentError
Lab1_G1_N3,113,19,ArgumentError
Lab1_G1_N3,113,20,ArgumentError
Lab1_G1_N3,114,3,non_finite_uzal_cost
Lab1_G1_N3,114,14,ArgumentError
Lab1_G1_N3,114,15,ArgumentError
Lab1_G1_N3,114,16,ArgumentError
Lab1_G1_N3,114,17,ArgumentError
Lab1_G1_N3,114,18,ArgumentError
Lab1_G1_N3,114,19,ArgumentError
Lab1_G1_N3,114,20,ArgumentError
Lab1_G1_N3,115,14,ArgumentError
Lab1_G1_N3,115,15,ArgumentError
Lab1_G1_N3,115,16,ArgumentError
Lab1_G1_N3,115,17,ArgumentError
Lab1_G1_N3,115,18,ArgumentError
Lab1_G1_N3,115,19,ArgumentError
Lab1_G1_N3,115,20,ArgumentError
Lab1_G1_N3,116,3,non_finite_uzal_cost
Lab1_G1_N3,116,14,ArgumentError
Lab1_G1_N3,116,15,ArgumentError
Lab1_G1_N3,116,16,ArgumentError
Lab1_G1_N3,116,17,ArgumentError
Lab1_G1_N3,116,18,ArgumentError
