column,tau,dimension,homology_dimension,birth,death,persistence,is_infinite
Lab1_G1_N3,3,4,0,0.0,0.301968441960502,0.301968441960502,false
Lab1_G1_N3,3,4,0,0.0,0.301968441960502,0.301968441960502,false
Lab1_G1_N3,3,4,0,0.0,0.301968441960502,0.301968441960502,false
Lab1_G1_N3,3,4,0,0.0,0.301968441960502,0.301968441960502,false
Lab1_G1_N3,3,4,0,0.0,0.301968441960502,0.301968441960502,false
Lab1_G1_N3,3,4,0,0.0,0.301968441960502,0.301968441960502,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132287,0.3698343006132287,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132287,0.3698343006132287,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132287,0.3698343006132287,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132287,0.3698343006132287,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132287,0.3698343006132287,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132287,0.3698343006132287,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132287,0.3698343006132287,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132287,0.3698343006132287,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132299,0.3698343006132299,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132305,0.3698343006132305,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132307,0.3698343006132307,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.3698343006132308,0.3698343006132308,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323097,0.36983430061323097,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323097,0.36983430061323097,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323114,0.36983430061323114,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323114,0.36983430061323114,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323114,0.36983430061323114,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323114,0.36983430061323114,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323114,0.36983430061323114,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323114,0.36983430061323114,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323114,0.36983430061323114,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323114,0.36983430061323114,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323114,0.36983430061323114,false
Lab1_G1_N3,3,4,0,0.0,0.36983430061323114,0.36983430061323114,false
