column,tau,dimension,uzal_cost
Lab1_G1_N1,10,8,1.0636450405989275
Lab1_G1_N1,18,6,1.0636935644688674
Lab1_G1_N1,16,5,1.063745807722764
Lab1_G1_N1,47,8,1.063828671770824
Lab1_G1_N1,14,8,1.0638349104257643
Lab1_G1_N1,36,6,1.0638417277355643
Lab1_G1_N1,90,4,1.064167765516988
Lab1_G1_N1,49,6,1.064275592577722
Lab1_G1_N1,31,8,1.0644735412770834
Lab1_G1_N1,77,7,1.0644944020616403
Lab1_G1_N1,25,5,1.0645266138056286
Lab1_G1_N1,18,7,1.0645290895615027
Lab1_G1_N1,74,3,1.0645420143114124
Lab1_G1_N1,77,8,1.0646490842508032
Lab1_G1_N1,48,5,1.064792339959019
Lab1_G1_N1,75,8,1.0648522319349327
Lab1_G1_N1,10,7,1.0650434768961137
Lab1_G1_N1,48,6,1.065139431117076
Lab1_G1_N1,76,3,1.0651603074408422
Lab1_G1_N1,14,4,1.0651706943529224
Lab1_G1_N1,28,5,1.0652213025005193
Lab1_G1_N1,41,6,1.065261395697503
Lab1_G1_N1,79,7,1.0653349571482953
Lab1_G1_N1,90,3,1.06534509991123
Lab1_G1_N1,40,5,1.0653729366615592
Lab1_G1_N1,80,8,1.0653781353333647
Lab1_G1_N1,88,4,1.065529986777725
Lab1_G1_N1,40,8,1.0655324088230693
Lab1_G1_N1,27,3,1.0656159994858618
Lab1_G1_N1,24,7,1.065616580748142
Lab1_G1_N1,47,6,1.0656365005508175
Lab1_G1_N1,89,7,1.0656457949399705
Lab1_G1_N1,36,7,1.065687663994784
Lab1_G1_N1,29,8,1.0657594033201288
Lab1_G1_N1,27,6,1.0658695399335756
Lab1_G1_N1,59,7,1.065906101141775
Lab1_G1_N1,40,4,1.0659712236793308
Lab1_G1_N1,95,6,1.0662038276434962
Lab1_G1_N1,18,4,1.0663193377331044
Lab1_G1_N1,37,8,1.0663885453887367
Lab1_G1_N1,97,3,1.0667130708314
Lab1_G1_N1,27,4,1.066738079138182
Lab1_G1_N1,30,7,1.0667876829770613
Lab1_G1_N1,70,7,1.0668684694175852
Lab1_G1_N1,76,8,1.0669436712108133
Lab1_G1_N1,68,6,1.067120822449939
Lab1_G1_N1,73,3,1.067206773904473
Lab1_G1_N1,63,3,1.0672452248453876
Lab1_G1_N1,60,7,1.067665366569281
Lab1_G1_N1,11,8,1.0676752540512837
Lab1_G1_N1,80,3,1.067720086504075
Lab1_G1_N1,14,7,1.06781698839148
Lab1_G1_N1,29,9,1.0678231192212038
Lab1_G1_N1,81,4,1.068012625878407
Lab1_G1_N1,77,3,1.0680915850988724
Lab1_G1_N1,26,6,1.0682116298246351
Lab1_G1_N1,32,8,1.0682212798009008
Lab1_G1_N1,30,5,1.0683157665161969
Lab1_G1_N1,41,3,1.0684521124701694
Lab1_G1_N1,15,9,1.0686159181188832
Lab1_G1_N1,21,8,1.0688471689819148
Lab1_G1_N1,24,6,1.0688734007939844
Lab1_G1_N1,58,6,1.0689607884822265
Lab1_G1_N1,12,10,1.0690199609243975
Lab1_G1_N1,90,8,1.069036570460965
Lab1_G1_N1,94,7,1.0691279394160491
Lab1_G1_N1,57,4,1.0691852288498243
Lab1_G1_N1,73,8,1.0692681462391438
Lab1_G1_N1,65,6,1.0693390669666445
Lab1_G1_N1,17,4,1.0695653367383795
Lab1_G1_N1,33,6,1.0696795928761322
Lab1_G1_N1,65,4,1.069731172910533
Lab1_G1_N1,59,5,1.0697498486109371
Lab1_G1_N1,36,8,1.0699257978324366
Lab1_G1_N1,26,4,1.0700135356169833
Lab1_G1_N1,84,3,1.0700695015421193
Lab1_G1_N1,28,3,1.0703341981889836
Lab1_G1_N1,91,3,1.0704442771244806
Lab1_G1_N1,36,9,1.0704545605867117
Lab1_G1_N1,68,8,1.0704935623365845
Lab1_G1_N1,28,4,1.0706119366261435
Lab1_G1_N1,67,6,1.07061327962458
Lab1_G1_N1,66,7,1.0706810139975445
Lab1_G1_N1,24,8,1.07077414925155
Lab1_G1_N1,68,7,1.0708250108795
Lab1_G1_N1,88,7,1.0708695482873345
Lab1_G1_N1,96,7,1.0709836369581542
Lab1_G1_N1,16,8,1.0710011911616275
Lab1_G1_N1,67,4,1.0710528092061429
Lab1_G1_N1,13,9,1.0712205728591702
Lab1_G1_N1,97,7,1.0712784074496273
Lab1_G1_N1,28,6,1.0712794526876137
Lab1_G1_N1,82,7,1.0713513102970484
Lab1_G1_N1,19,8,1.0714141707352953
Lab1_G1_N1,37,3,1.071460578270848
Lab1_G1_N1,75,3,1.0715720361108179
Lab1_G1_N1,72,4,1.0716042121587976
Lab1_G1_N1,23,7,1.0716739248508074
Lab1_G1_N1,20,9,1.0716802850136034
Lab1_G1_N1,34,5,1.0717088493771552
Lab1_G1_N1,72,3,1.0717730680759454
Lab1_G1_N1,14,5,1.071797016156533
Lab1_G1_N1,55,5,1.071899605128705
Lab1_G1_N1,20,7,1.0719905167935788
Lab1_G1_N1,21,4,1.0720961043097483
Lab1_G1_N1,34,8,1.0722025770791987
Lab1_G1_N1,20,8,1.0722530109565933
Lab1_G1_N1,35,4,1.0723375934279409
Lab1_G1_N1,61,9,1.0725398772072008
Lab1_G1_N1,39,3,1.0726499345722085
Lab1_G1_N1,70,8,1.0727004778830627
Lab1_G1_N1,46,6,1.0727345181677344
Lab1_G1_N1,34,7,1.0727696916870533
Lab1_G1_N1,26,7,1.0727884095556872
Lab1_G1_N1,48,9,1.0729316783036145
Lab1_G1_N1,33,5,1.0729413390135227
Lab1_G1_N1,66,3,1.072960067871428
Lab1_G1_N1,56,3,1.0729727767351263
Lab1_G1_N1,27,7,1.0730163940608246
Lab1_G1_N1,46,9,1.0730799729558493
Lab1_G1_N1,81,6,1.073254329245124
Lab1_G1_N1,64,6,1.0733502616572317
Lab1_G1_N1,81,3,1.0733943060357254
Lab1_G1_N1,89,3,1.0735028383627254
Lab1_G1_N1,41,4,1.073585304705067
Lab1_G1_N1,11,9,1.073720188788177
Lab1_G1_N1,91,7,1.0738986809358524
Lab1_G1_N1,35,6,1.073971763188058
Lab1_G1_N1,86,4,1.0739817297548977
Lab1_G1_N1,47,9,1.07405816643487
Lab1_G1_N1,41,8,1.0742060062433467
Lab1_G1_N1,68,9,1.074255506415339
Lab1_G1_N1,34,6,1.07432342156403
Lab1_G1_N1,69,7,1.0743372915956888
Lab1_G1_N1,10,6,1.0743598839316157
Lab1_G1_N1,60,4,1.0744442085947692
Lab1_G1_N1,88,3,1.0744735048647296
Lab1_G1_N1,41,5,1.0745558810013853
Lab1_G1_N1,38,9,1.07456168900834
Lab1_G1_N1,58,7,1.0746020871399216
Lab1_G1_N1,72,9,1.0748022698242194
Lab1_G1_N1,19,3,1.0748596839357554
Lab1_G1_N1,38,3,1.074930681635388
Lab1_G1_N1,62,4,1.0749698749935799
Lab1_G1_N1,39,9,1.0750369309967338
Lab1_G1_N1,22,8,1.0751229552974906
Lab1_G1_N1,42,4,1.0751992729473285
Lab1_G1_N1,30,4,1.0752227314032665
Lab1_G1_N1,99,3,1.0752519469182475
Lab1_G1_N1,23,8,1.0752947085168858
Lab1_G1_N1,54,5,1.0753847321860004
Lab1_G1_N1,35,5,1.0754230827750606
Lab1_G1_N1,63,4,1.0754254316923684
Lab1_G1_N1,61,3,1.0755425895083268
Lab1_G1_N1,55,6,1.075544262915612
Lab1_G1_N1,57,5,1.075563349474456
Lab1_G1_N1,30,8,1.0755934411734496
Lab1_G1_N1,46,5,1.0756953778037817
Lab1_G1_N1,32,3,1.0757109067816997
Lab1_G1_N1,57,3,1.0758469195281695
Lab1_G1_N1,64,5,1.0758530132877089
Lab1_G1_N1,16,9,1.0758957316285385
Lab1_G1_N1,40,3,1.075914300251971
Lab1_G1_N1,66,4,1.075959049211371
Lab1_G1_N1,30,10,1.0760441345780507
Lab1_G1_N1,62,6,1.076112873086397
Lab1_G1_N1,62,8,1.076191635385672
Lab1_G1_N1,58,4,1.0762415682143551
