column,tau,dimension,homology_dimension,birth,death,persistence,is_infinite,embedding_points_original,embedding_points_used,max_points_limit
Lab1_G4_N1пр,4,6,2,0.2621120810508728,0.2636060118675232,0.0014939308166503906,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.25444287061691284,0.2613508701324463,0.006907999515533447,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.24357862770557404,0.24559976160526276,0.0020211338996887207,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.24261920154094696,0.249275341629982,0.006656140089035034,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.22804772853851318,0.2384408712387085,0.010393142700195312,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.22253338992595673,0.24443137645721436,0.02189798653125763,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.21653687953948975,0.22068007290363312,0.004143193364143372,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.21333207190036774,0.21503059566020966,0.001698523759841919,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.21274477243423462,0.21597403287887573,0.0032292604446411133,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.21178212761878967,0.2225242257118225,0.010742098093032837,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.21116797626018524,0.21358373761177063,0.002415761351585388,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.19835959374904633,0.20779699087142944,0.009437397122383118,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.19550232589244843,0.21922707557678223,0.0237247496843338,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.1939431130886078,0.20602069795131683,0.012077584862709045,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.19214846193790436,0.1947914958000183,0.0026430338621139526,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.1917676478624344,0.20224155485630035,0.010473906993865967,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.1913985311985016,0.2008989304304123,0.009500399231910706,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.18787918984889984,0.19304171204566956,0.005162522196769714,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.1837587207555771,0.19446831941604614,0.010709598660469055,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.1802109330892563,0.1939413696527481,0.013730436563491821,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.1788283884525299,0.18342168629169464,0.004593297839164734,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.17855630815029144,0.18281826376914978,0.004261955618858337,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.17694386839866638,0.18496112525463104,0.00801725685596466,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.17132267355918884,0.18371616303920746,0.012393489480018616,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.17039339244365692,0.17485636472702026,0.004462972283363342,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.16865456104278564,0.18665915727615356,0.01800459623336792,False,1419,400,400
